"GEPart#","Description","supplier1","supplier1Part","supplier1PartUrl","supplier2","supplier2Part","supplier2PartUrl","Mfg1","Mfg1Part","Mfg1PartUrl","Mfg2","Mfg2Part","Mfg2PartUrl","Rack","Shelf","Weight","Status","MinQTY","ReorderQTY"
"102001","Cassette Base, Mapper","GIFFORD ENG","102001","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102002","Spine, Lifters, Mapper 200","GIFFORD ENG","102002","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102003","Bracket, Tombstone Bearing, Mapper 200","GIFFORD ENG","102003","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102004","Bracket, Tombstone Lift motor, Mapper 200","GIFFORD ENG","102004","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102005","Sled, Lifters, Mapper 200","GIFFORD ENG","102005","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102006","Ramp, Mapper 200","GIFFORD ENG","102006","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102007","Bracket, Camera Interface PCA, Mapper 200","GIFFORD ENG","102007","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102008","Bracket, Sled position sensor, Mapper 200","GIFFORD ENG","102008","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102009","Lifter, Mapper 200","GIFFORD ENG","102009","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102010","End Effector, 150mm, Mapper 200","GIFFORD ENG","102010","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102011","End Effector, 200mm, Mapper 200","GIFFORD ENG","102011","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102012","Cover, Bottom, Sheet metal, Mapper 200","GIFFORD ENG","102012","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102013","Cover, Camera, Sheet metal, Mapper 200","GIFFORD ENG","102013","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102014","Bracket, Camera mount, Mapper 200","GIFFORD ENG","102014","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102015","Side Panel, Left, Mapper 200","GIFFORD ENG","102015","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102016","Side Panel, Right, Mapper 200","GIFFORD ENG","102016","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102017","End Effector, Concave LEFT, Mapper 200","GIFFORD ENG","102017","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102018","End Effector, Concave RIGHT, Mapper 200","GIFFORD ENG","102018","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102019","Bearing Pin, Lifter, Mapper 200","GIFFORD ENG","102019","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102020","Cover, Bottom, Sheet metal, Mapper 200","GIFFORD ENG","102020","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102021","Cover, Camera, Sheet metal, Mapper 200","GIFFORD ENG","102021","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102022","Mount, Camera, System 30, PP-H3D","GIFFORD ENG","102021","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102023","Y-Axis Attachment, Camera, System 30, PP-H3D","GIFFORD ENG","102021","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102024","Frame Attachment, Camera, System 30, PP-H3D","GIFFORD ENG","102021","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
"102025","MK1, Blower, Filament Cooler Add-on, PP-H3D","GIFFORD ENG","102021","-","York Industries","-","-","York Industries","-","-","York Industries","-","-","-","-","-","-","-","-"
